test,intent,question,answer,counter
,Alessandro_Volta,In what year did he become a professor of physics at the Royal School in Como?,1774,1
,Alessandro_Volta,When did Alessandro Volta improve  and popularize the electrophorus?,1775,2
,Alessandro_Volta,When did Volta retire?,1819,3
,Alessandro_Volta,"A year before improving and popularizing the electrophorus, what did Volta become?",A professor of physics at the Royal School in Como,4
,Alessandro_Volta,Did Alessandro Volta invent the remotely operated pistol?,Alessandro Volta did invent the remotely operated pistol.,5
,Alessandro_Volta,When did Alessandro Volta improve  and popularize the electrophorus?,Alessandro Volta improved and popularized the electrophorus in 1775.,6
,Alessandro_Volta,Who did Alessandro Volta marry?,Alessandro Volta married Teresa Peregrini.,7
,Alessandro_Volta,Did Alessandro Volta die and retire in the same place?,Alessandro Volta retired and died in the same place.,8
,Alessandro_Volta,How long was Alessandro Volta a professor at the University of Pavia?,Alessandro Volta was a professor at the University of Pavia for almost 25 years.,9
,Alessandro_Volta,Was Alessandro Volta a professor of chemistry?,Alessandro Volta was not a professor of chemistry.,10
,Alessandro_Volta,How long was Alessandro Volta a professor at the University of Pavia?,almost 25 years,11
,Alessandro_Volta,Where was Volta born?,Como,12
,Alessandro_Volta,Where was Volta born?,"Como, Italy",13
,Alessandro_Volta,What did Alessandro Volta invent in 1800?,"In 1800, Alessandro Volta invented the voltaic pile.",14
,Alessandro_Volta,When did Volta retire?,In 1819.,15
,Alessandro_Volta,Who made Volta a count?,Napoleon,16
,Alessandro_Volta,Was Alessandro Volta a professor of chemistry?,No,17
,Alessandro_Volta,Was Alessandro Volta an Egyptian?,no,18
,Alessandro_Volta,Did Volta marry before he became professor of experimental physics at the University of Pavia?,no,19
,Alessandro_Volta,Was Alessandro Volta an Egyptian?,No.,20
,Alessandro_Volta,Was Volta made a count in 1810?,No.,21
,Alessandro_Volta,Did Volta marry before he became professor of experimental physics at the University of Pavia?,No.,22
,Alessandro_Volta,Who did Alessandro Volta marry?,Teresa Peregrini,23
,Alessandro_Volta,What is the battery made by Alessandro Volta credited as?,The battery made by Volta is credited as the first electrochemical cell.,24
,Alessandro_Volta,What is the battery made by Alessandro Volta credited as?,the first electrochemical cell,25
,Alessandro_Volta,When was Volta made a count by Napoleon?,Volta was made a count by Napoleon in 1810.,26
,Alessandro_Volta,What happened in 1810?,Volta was made a count by Napoleon.,27
,Alessandro_Volta,Was Alessandro Volta taught in public schools?,Volta was taught in public schools.,28
,Alessandro_Volta,Who became a professor of physics at the Royal School in Como?,Volta.,29
,Alessandro_Volta,What did Alessandro Volta invent in 1800?,voltaic pile,30
,Alessandro_Volta,Was Volta buried where he died or was he buried someplace else?,where he died,31
,Alessandro_Volta,Did Alessandro Volta invent the remotely operated pistol?,Yes,32
,Alessandro_Volta,Was Alessandro Volta taught in public schools?,Yes,33
,Alessandro_Volta,Did Alessandro Volta die and retire in the same place?,Yes,34
,Alessandro_Volta,Was Volta taught in public schools?,yes,35
,Alessandro_Volta,Was Volta made a count in 1810?,yes,36
,Alessandro_Volta,Was Alessandro Volta born in Como?,yes,37
,Alessandro_Volta,Is Voltas legacy celebrated by a Temple on the shore of Lake Como in the center of the town?,Yes,38
,Alessandro_Volta,Is the battery made by Volta credited as the first electrochemical cell?,Yes,39
,Alessandro_Volta,Wasn't Alessandro Volta born in Como?,"Yes, Volta was born in Como, Italy and was taught in the public schools there.",40
,Alessandro_Volta,Was Volta made a count by Napoleon in 1810?,"Yes, Volta was made a count by Napoleon in 1810.",41
,Alessandro_Volta,Was Volta taught in public schools?,Yes.,42
,Alessandro_Volta,Was Volta buried where he died or was he buried someplace else?,Yes.,43
,Amedeo_Avogadro,Avogadro did not actually use what word?,atom,44
,Amedeo_Avogadro,The number of elementary entities in 1 mole of a substance is known as what?,Avogadro constant,45
,Amedeo_Avogadro,Why did Avogadro lose his chair at the University of Turin?,Avogadro lost his chair at the University of Turin because he was active in the revolutionary movements of 1821 against the king of Sardinia.,46
,Amedeo_Avogadro,In what language was his 1811 paper published?,Avogadro's 1811 paper was published in French.,47
,Amedeo_Avogadro,The number of elementary entities in 1 mole of a substance is known as what?,Avogadro's constant,48
,Amedeo_Avogadro,What does Avogadro's Law state?,Avogadro's Law states that the relationship between the masses of the same volume of different gases (at the same temperature and pressure) corresponds to the relationship between their respective molecular weights.,49
,Amedeo_Avogadro,Who was Avogadro's wife?,Felicita Mazz,50
,Amedeo_Avogadro,Who was Avogadro's wife?,Felicita Mazzé was Avogadro's wife.,51
,Amedeo_Avogadro,In what language was his 1811 paper published?,French,52
,Amedeo_Avogadro,Why did Avogadro lose his chair at the University of Turin?,He was active in the revolutionary movements of 1821 against the king of Sardinia,53
,Amedeo_Avogadro,Who showed that Avogadro's theory held in dilute solutions?,Jacobus Henricus van Hoff,54
,Amedeo_Avogadro,Who showed that Avogadro's theory held in dilute solutions?,Jacobus Henricus van 't Hoff showed that Avogadro's theory holds in dilute solutions.,55
,Amedeo_Avogadro,Who first calculated the value of Avogadro's number?,Johann Josef Loschmidt,56
,Amedeo_Avogadro,Who first calculated the value of Avogadro's number?,Johann Josef Loschmidt first calculated the value of Avogadro's number.,57
,Amedeo_Avogadro,What would a German call Avogadro's number?,Loschmidt number,58
,Amedeo_Avogadro,What does Avogadro's Law state?,The relationship between the masses of the same volume of different gases (at the same temperature and pressure) corresponds to the relationship between their respective molecular weights,59
,Amedeo_Avogadro,"In 1820, Avogadro became a professor of physics where?",University of Turin,60
,Amedeo_Avogadro,Was Avogadro a  professor at the University of Turin?,Yes,61
,Amedeo_Avogadro,Was he a member of the Royal Superior Council on Public Instruction?,Yes,62
,Amedeo_Avogadro,Is Avogadro's number used to compute the results of chemical reactions?,Yes,63
,Amedeo_Avogadro,Was Amedeo Avogadro was born in Turin?,Yes,64
,Amedeo_Avogadro,Is Avogadro hailed as a founder of the atomic-molecular theory?,Yes,65
,Amedeo_Avogadro,Did Johann Josef Loschmidt first calculate the value of Avogadro's number?,Yes,66
,Amedeo_Avogadro,Is Amedeo Avogadro Italian?,Yes,67
,Amedeo_Avogadro,Did he become a professor before the revolutionary movements against the king of Sardinia?,Yes,68
,Amedeo_Avogadro,Was he a member of the Royal Superior Council on Public Instruction?,"Yes,  Avogadro was a member of the Royal Superior Council on Public Instruction.",69
,Amedeo_Avogadro,Is Avogadro's number used to compute the results of chemical reactions?,"Yes, Avagadro's number is used to compute the results of chemical reactions.",70
,Amedeo_Avogadro,Was Avogadro a  professor at the University of Turin?,"Yes, Avogadro was a professor at the University of Turin.",71
,Ant,"Do the ants eat plants, meats, or both?",both,72
,Ant,Where are bullet ants located?,Bullet ants are located in Central and South America.,73
,Ant,How do most ants travel?,by walking,74
,Ant,What are the ant colonies that lack queens called?,Colonies that lack queens are called gamergate colonies.,75
,Ant,What organs gives a bull ant its good sight?,compound eyes,76
,Ant,What may happen to red fire ants if we use boiling water on the queen?,die,77
,Ant,Ultraviolet vision was first discovered in ants by Sir who in 1881?,John Lubbok,78
,Ant,Who wrote about ants in A Tramp Abroad?,Mark Twain,79
,Ant,Who wrote about ants in A Tramp Abroad?,mark twain wrote about ants,80
,Ant,What is the most common color of ants?,Most ants are red or black.,81
,Ant,How do most ants travel?,most ants travel by walking,82
,Ant,What may happen to red fire ants if we use boiling water on the queen?,nests of red fire ants may be destroyed,83
,Ant,Is the ant a marsupial?,no,84
,Ant,Do all ants build nests?,"No, not all ants build nests.",85
,Ant,Are ants found in Antartica?,"No, there are no ants in antarctica.",86
,Ant,Do worker ants have wings?,"No, worker ants do not have wings.",87
,Ant,"In ant colonies, what are the fertile female ants called?",queens,88
,Ant,What are the three segments of an ant?,"The head, mesosoma and metasoma are the three distinct body segments.",89
,Ant,Do ants belong to the Hymenoptera order?,yes,90
,Ant,Are ants used in cuisine?,yes,91
,Ant,Does an ant's head contain sensory organs?,yes,92
,Ant,Are several species of ants able to use the Earths magnetic field?,yes,93
,Ant,Do some caterpillars produce vibrations as well as sounds?,yes,94
,Ant,Did ants evolve from wasp-like ancestors in the mid-Cretaceous period between 110 and 130 million years ago and diversified after the rise of flowering plants?,yes,95
,Ant,Do ants belong to the same order as bees?,"Yes, ants belong to the same order as bees.",96
,Ant,Do male ants take flight before females?,"Yes, male ants take flight before females.",97
,Ant,Are termites actually more closely related to cockroaches as well as mantids?,"Yes, termites are actually more closely related to cockroaches as well as mantids.",98
,Ant,Are they easily identified by their elbowed antennae and a distinctive node-like structure that forms a slender waist?,"Yes, they are easily identified by their elbowed antennae and a distinctive node-like structure that forms a slender waist.",99
,Ant,Do ants thrive in most ecosystems?,Yes.,100
,Antwerp,What is Antwerp?,Antwerp is a city and municipality in Belgium.,101
,Antwerp,Where is the city of Antwerp?,Antwerp is in Belgium,102
,Antwerp,Antwerp is to the east of what river?,Antwerp is to the east of the Scheldt river,103
,Antwerp,What is the population of the city of Antwerp?,"Antwerp's population is 472,071.",104
,Antwerp,How many municipalities does Antwerp have?,"None, Antwerp is a municipality.",105
,Antwerp,Is Antwerp a city?,Yes,106
,Antwerp,Is Antwerp a municipality?,Yes,107
,Antwerp,Is Antwerp in Belgium?,Yes,108
,Antwerp,Why is Antwerp important to fashion?,Yes,109
,Arabic_language,How many people speak the Arabic language?,280 million people.,110
,Arabic_language,Egyptian Arabic is spoken by how many in Egypt?,76 million,111
,Arabic_language,Hassan Massoudy is a master of what genre?,Arabic calligraphy,112
