test,intent,question,answer,counter
,Abraham_Lincoln,Was Abraham Lincoln the sixteenth President of the United States?,yes,1
,Abraham_Lincoln,Was Abraham Lincoln the sixteenth President of the United States?,Yes.,2
,Abraham_Lincoln,Did Lincoln sign the National Banking Act of 1863?,yes,3
,Abraham_Lincoln,Did Lincoln sign the National Banking Act of 1863?,Yes.,4
,Abraham_Lincoln,Did his mother die of pneumonia?,no,5
,Abraham_Lincoln,Did his mother die of pneumonia?,No.,6
,Abraham_Lincoln,How many long was Lincoln's formal education?,18 months,7
,Abraham_Lincoln,How many long was Lincoln's formal education?,18 months.,8
,Abraham_Lincoln,When did Lincoln begin his political career?,1832,9
,Abraham_Lincoln,When did Lincoln begin his political career?,1832.,10
,Abraham_Lincoln,What did The Legal Tender Act of 1862 establish?,"the United States Note, the first paper currency in United States history",11
,Abraham_Lincoln,What did The Legal Tender Act of 1862 establish?,"The United States Note, the first paper currency in United States history.",12
,Abraham_Lincoln,Who suggested Lincoln grow a beard?,11-year-old Grace Bedell,13
,Abraham_Lincoln,Who suggested Lincoln grow a beard?,Grace Bedell.,14
,Abraham_Lincoln,When did the Gettysburg address argue that America was born?,1776,15
,Abraham_Lincoln,When did the Gettysburg address argue that America was born?,1776.,16
,Abraham_Lincoln,Did Lincoln beat John C. Breckinridge in the 1860 election?,yes,17
,Abraham_Lincoln,Did Lincoln beat John C. Breckinridge in the 1860 election?,Yes.,18
,Abraham_Lincoln,Was Abraham Lincoln the first President of the United States?,No,19
,Abraham_Lincoln,Was Abraham Lincoln the first President of the United States?,No,20
,Abraham_Lincoln,Did Lincoln start his political career in 1832?,Yes,21
,Abraham_Lincoln,Did Lincoln start his political career in 1832?,Yes,22
,Abraham_Lincoln,Did Lincoln ever represent Alton & Sangamon Railroad?,Yes,23
,Abraham_Lincoln,Did Lincoln ever represent Alton & Sangamon Railroad?,Yes,24
,Abraham_Lincoln,Which county was Lincoln born in?,Hardin County,25
,Abraham_Lincoln,Which county was Lincoln born in?,"Southeast Hardin County, Kentucky",26
,Abraham_Lincoln,When did Lincoln first serve as President?,"March 4, 1861",27
,Abraham_Lincoln,When did Lincoln first serve as President?,"March 4, 1861",28
,Abraham_Lincoln,Who assassinated Lincoln?,John Wilkes Booth,29
,Abraham_Lincoln,Who assassinated Lincoln?,John Wilkes Booth,30
,Abraham_Lincoln,Did Lincoln win the election of 1860?,Yes,31
,Abraham_Lincoln,Did Lincoln win the election of 1860?,Yes,32
,Abraham_Lincoln,Who was the general in charge at the Battle of Antietam?,General McClellan,33
,Abraham_Lincoln,Who was the general in charge at the Battle of Antietam?,John Alexander McClernand,34
,Abraham_Lincoln,Why did Lincoln issue the Emancipation Proclamation?,To free slaves ,35
,Abraham_Lincoln,Why did Lincoln issue the Emancipation Proclamation?,"The goal was to weaken the rebellion, which was led and controlled by slave owners.",36
,Abraham_Lincoln,Do scholars rank lincoln among the top three presidents?,Yes,37
,Abraham_Lincoln,Did lincoln have 18 months of schooling?,Yes,38
,Abraham_Lincoln,Was Lincoln chosen as a presidential candidate in 1860?,Yes,39
,Abraham_Lincoln,How old was Lincoln in 1816?,seven,40
,Abraham_Lincoln,When was the first photgraph of lincoln taken?,1846,41
,Abraham_Lincoln,How long was Lincoln's legal Career?,23 years,42
,Abraham_Lincoln,What trail did Lincoln use a Farmers' Almanac in? ,"he defended William ""Duff"" Armstrong",43
,Abraham_Lincoln,Did Abraham Lincoln live in the Frontier?,Yes,44
,Abraham_Lincoln,Did Lincoln's Wife's Family support slavery?,Yes,45
,Amedeo_Avogadro,Who is most noted for his contributions to the theory of molarity and molecular weight?,Amedeo Avogadro,46
,Amedeo_Avogadro,Who graduated in ecclesiastical law at the early age of 20 and began to practice?,Amedeo Avogadro,47
,Amedeo_Avogadro,When did he publish another memoria?,1821,48
,Amedeo_Avogadro,When did he become a professor?,1820,49
,Amedeo_Avogadro,Is it true that he became a professor in 1820?,yes,50
,Amedeo_Avogadro,Was Lorenzo Romano Amedeo Carlo Avogadro an Italian savant?,yes,51
